,Address
106,"606 E MARKET ST, Charlottesville VA"
107,"160 PEREGORY LN, Charlottesville VA"
108,"750 HARRIS ST 101, Charlottesville VA"
109," STAFFORD CO SO, Charlottesville VA"
110," STAFFORD CO SO, Charlottesville VA"
111,"750 HARRIS ST 101, Charlottesville VA"
112,"702 NASSAU ST, Charlottesville VA"
113,"702 NASSAU ST, Charlottesville VA"
114,"750 HARRIS RD, Charlottesville VA"
115,"900 W MAIN ST, Charlottesville VA"
116,"900 W MAIN ST, Charlottesville VA"
117,"900 W MAIN ST, Charlottesville VA"
118,"406 GARRETT ST F, Charlottesville VA"
119,"406 GARRETT ST F, Charlottesville VA"
120,"406 GARRETT ST F, Charlottesville VA"
121,"406 GARRETT ST F, Charlottesville VA"
122,"406 GARRETT ST F, Charlottesville VA"
123,"406 GARRETT ST F, Charlottesville VA"
124,"1600 5TH ST, Charlottesville VA"
125,"1406 EMARKET ST B, Charlottesville VA"
126," CITY OF RICHMOND, Charlottesville VA"
127,"241 SHAMROCK RD, Charlottesville VA"
128,"606 E MARKET ST, Charlottesville VA"
129,"110 E MAIN ST 201, Charlottesville VA"
130,"424 GARRETT ST, Charlottesville VA"
131,"424 GARRETT ST, Charlottesville VA"
132,"2306 ANGUS RD A, Charlottesville VA"
133,"524 CLEVELAND AVE B, Charlottesville VA"
134,"1625 MERIDIAN ST B3, Charlottesville VA"
135,"123 4TH ST NW, Charlottesville VA"
136,"200 W SOUTH ST, Charlottesville VA"
137,"200 W SOUTH ST, Charlottesville VA"
138,"110 LANKFORD AVE, Charlottesville VA"
139,"600 PRESTON AVE, Charlottesville VA"
140,"10005 SPOTSWOOD TRAIL, Charlottesville VA"
141,"208 E MAIN ST, Charlottesville VA"
142,"611 RUGBY RD 101, Charlottesville VA"
143,"611 RUGBY RD 101, Charlottesville VA"
144,"611 RUGBY RD 101, Charlottesville VA"
145,"611 RUGBY RD 101, Charlottesville VA"
146,"1907 EMMET ST N, Charlottesville VA"
147,"606 E MARKET ST, Charlottesville VA"
148,"227 W MAIN ST, Charlottesville VA"
149,"401 4TH ST NW 217, Charlottesville VA"
150,"750 HARRIS ST 101, Charlottesville VA"
151," GARRETT ST, Charlottesville VA"
152,"1432 RUGBY AVE, Charlottesville VA"
153,"108 2ND ST SW, Charlottesville VA"
154,"108 2ND ST SW, Charlottesville VA"
155,"601 PRESTON AVE, Charlottesville VA"
156,"500 HARRIS RD, Charlottesville VA"
157,"500 HARRIS RD, Charlottesville VA"
158,"1 TH ST NW, Charlottesville VA"
159,"116 WBEVERLEY _STA_ ST, Charlottesville VA"
160,"750 HARRIS ST 101, Charlottesville VA"
161,
162,
163,
164,
165," 2ND ST SE, Charlottesville VA"
166," 2ND ST SE, Charlottesville VA"
167,"160 PEREGORY LN, Charlottesville VA"
168,"11350 PORTER RD, Charlottesville VA"
169,"606 E MARKET ST, Charlottesville VA"
170,"1910 INGLEWOOD DR, Charlottesville VA"
171,"1600 5TH ST, Charlottesville VA"
172,"625 W MAIN ST, Charlottesville VA"
173,"101 E MARKET ST, Charlottesville VA"
174,"401 GARRETT ST, Charlottesville VA"
175,"606 E MARKET ST, Charlottesville VA"
176,"1628 MERIDIAN ST, Charlottesville VA"
177,"160 PEREGORY LN, Charlottesville VA"
178,"160 PEREGORY LN, Charlottesville VA"
179," AVON ST, Charlottesville VA"
180,"208 E MAIN ST, Charlottesville VA"
181,"208 E MAIN ST, Charlottesville VA"
182,"606 E MARKET ST, Charlottesville VA"
183,"606 E MARKET ST, Charlottesville VA"
184,"606 E MARKET ST, Charlottesville VA"
185,"606 E MARKET ST, Charlottesville VA"
186,"606 E MARKET ST, Charlottesville VA"
187,"300 2ND ST SE, Charlottesville VA"
188,"300 2ND ST SE, Charlottesville VA"
189,"116 PENICK CT, Charlottesville VA"
190,"116 PENICK CT, Charlottesville VA"
191,"700 6TH ST SE, Charlottesville VA"
192,"1131 5TH ST SW, Charlottesville VA"
193,"1131 5TH ST SW, Charlottesville VA"
194,"111 CHARLES _ORA_ ST, Charlottesville VA"
195,"1219 JOHN ST, Charlottesville VA"
196,"1610 AVON STREET EXT, Charlottesville VA"
197,"160 PEREGORY LN, Charlottesville VA"
198,"160 PEREGORY LN, Charlottesville VA"
199,"1296 KENWOOD LN, Charlottesville VA"
200,"1296 KENWOOD LN, Charlottesville VA"
201,"750 HARRIS ST 101, Charlottesville VA"
202,"801 E MARKET ST, Charlottesville VA"
203,"1119 EMMET ST N, Charlottesville VA"
204,"606 E MARKET ST, Charlottesville VA"
205,"606 E MARKET ST, Charlottesville VA"
206,"606 E MARKET ST, Charlottesville VA"
207,"108 LANKFORD AVE, Charlottesville VA"
208,"606 E MARKET ST, Charlottesville VA"
209,"606 E MARKET ST, Charlottesville VA"
210,"606 E MARKET ST, Charlottesville VA"
211,"160 PEREGORY LN, Charlottesville VA"
212,"160 PEREGORY LN, Charlottesville VA"
213,"1104 LEONARD ST, Charlottesville VA"
214,"1104 LEONARD ST, Charlottesville VA"
215,"1104 LEONARD ST, Charlottesville VA"
216,"1104 LEONARD ST, Charlottesville VA"
217,"1104 LEONARD ST, Charlottesville VA"
218,"1104 LEONARD ST, Charlottesville VA"
219,"1104 LEONARD ST, Charlottesville VA"
220,"904 1ST ST S B, Charlottesville VA"
221,"904 1ST ST S B, Charlottesville VA"
222,"904 1ST ST S B, Charlottesville VA"
223,"426 GARRETT ST C, Charlottesville VA"
224,"260 HARDWARE ST, Charlottesville VA"
225,"606 E MARKET ST, Charlottesville VA"
226,"606 E MARKET ST, Charlottesville VA"
227,"606 E MARKET ST, Charlottesville VA"
228,"606 E MARKET ST, Charlottesville VA"
229,"606 E MARKET ST, Charlottesville VA"
230,"606 E MARKET ST, Charlottesville VA"
231,"606 E MARKET ST, Charlottesville VA"
232,"212 E MAIN ST, Charlottesville VA"
233,"109 2ND ST SE, Charlottesville VA"
234,"501 CHERRY AVE, Charlottesville VA"
235,"501 ROCKLAND AVE, Charlottesville VA"
236,"208 E MAIN ST, Charlottesville VA"
237,"772 PROSPECT AVE B, Charlottesville VA"
238,"750 HARRIS ST 101, Charlottesville VA"
239,"606 E MARKET ST, Charlottesville VA"
240,"160 PEREGORY LN, Charlottesville VA"
241,"200 RIDGE ST, Charlottesville VA"
242,"1517 UNIVERSITY AVE, Charlottesville VA"
243,"1517 UNIVERSITY AVE, Charlottesville VA"
244,"1517 UNIVERSITY AVE, Charlottesville VA"
245,"1517 UNIVERSITY AVE, Charlottesville VA"
246,"814 ST JAMES CIR, Charlottesville VA"
247," VSP TROOPER, Charlottesville VA"
248,"101 W MAIN ST, Charlottesville VA"
249,"160 PEREGORY LN, Charlottesville VA"
250,"303 E MAIN ST, Charlottesville VA"
251,"303 E MAIN ST, Charlottesville VA"
252,"303 E MAIN ST, Charlottesville VA"
253,"303 E MAIN ST, Charlottesville VA"
254,"203 RIDGE ST, Charlottesville VA"
255,"800 PRESTON AVE, Charlottesville VA"
256,"401 4TH ST NW 213, Charlottesville VA"
257,"606 E MARKET ST, Charlottesville VA"
258,"606 E MARKET ST, Charlottesville VA"
259,"606 E MARKET ST, Charlottesville VA"
260,"606 E MARKET ST, Charlottesville VA"
261,"160 PEREGORY LN, Charlottesville VA"
262,"160 PEREGORY LN, Charlottesville VA"
263,"160 PEREGORY LN, Charlottesville VA"
264,"606 E MARKET ST, Charlottesville VA"
265,"760 PROSPECT AVE, Charlottesville VA"
266," ACRJ, Charlottesville VA"
267," ACRJ, Charlottesville VA"
268,"160 PEREGORY LN, Charlottesville VA"
269,"160 PEREGORY LN, Charlottesville VA"
270,"160 PEREGORY LN, Charlottesville VA"
271,"160 PEREGORY LN, Charlottesville VA"
272,"104 SLATE PL, Charlottesville VA"
273,"208 E MAIN ST, Charlottesville VA"
274,"853 WMAIN ST 425, Charlottesville VA"
275,"853 WMAIN ST 425, Charlottesville VA"
276,"853 WMAIN ST 425, Charlottesville VA"
277,"200 2ND ST NE, Charlottesville VA"
278,"1308 CARLTON AVE, Charlottesville VA"
279,"1308 CARLTON AVE, Charlottesville VA"
280,"109 W MAIN ST, Charlottesville VA"
281,"111 DANBURY CT, Charlottesville VA"
282,"700 ELM ST, Charlottesville VA"
283,"700 ELM ST, Charlottesville VA"
284,"475 RIDGE MCINTIRE RD, Charlottesville VA"
285,"606 E MARKET ST, Charlottesville VA"
286,"401 4TH ST NW, Charlottesville VA"
287,"1100 E MARKET ST, Charlottesville VA"
288,"816 HARDY DR, Charlottesville VA"
289,"160 COMMONS _FLU_ BLVD, Charlottesville VA"
290,"828 HARDY DR, Charlottesville VA"
291," PRESTON AVE @ GRADY AVE, Charlottesville VA"
292,"750 HARRIS ST 101, Charlottesville VA"
293,"824 HARDY DR F, Charlottesville VA"
294,"824 HARDY DR F, Charlottesville VA"
295," 9TH ST NE, Charlottesville VA"
296,"101 WMARKET ST, Charlottesville VA"
297,"101 WMARKET ST, Charlottesville VA"
298," VSP TROOPER, Charlottesville VA"
299," VSP TROOPER, Charlottesville VA"
300," AVON ST, Charlottesville VA"
301,"101 E JEFFERSON ST, Charlottesville VA"
302," MONTICELLO AVE, Charlottesville VA"
303," MONTICELLO AVE, Charlottesville VA"
304," MONTICELLO AVE, Charlottesville VA"
305," JEFFERSON PARK AVE @ CLEVELAND AVE, Charlottesville VA"
306," JEFFERSON PARK AVE @ CLEVELAND AVE, Charlottesville VA"
307," JEFFERSON PARK AVE @ CLEVELAND AVE, Charlottesville VA"
308,"709 6TH ST SE, Charlottesville VA"
309,"303 E MAIN ST, Charlottesville VA"
310,"606 E MARKET ST, Charlottesville VA"
311,"1301 CARLTON AVE, Charlottesville VA"
312,"1301 CARLTON AVE, Charlottesville VA"
313,"1301 CARLTON AVE, Charlottesville VA"
314,"1301 CARLTON AVE, Charlottesville VA"
315,"101 E MARKET ST, Charlottesville VA"
316,"750 HARRIS ST 101, Charlottesville VA"
317,"208 E MAIN ST, Charlottesville VA"
318,"1527 MONTESSORI TER, Charlottesville VA"
319,"1527 MONTESSORI TER, Charlottesville VA"
320,"1917 SWANSON DR B, Charlottesville VA"
321,"160 PEREGORY LN, Charlottesville VA"
322,"160 PEREGORY LN, Charlottesville VA"
323,"160 PEREGORY LN, Charlottesville VA"
324,"160 PEREGORY LN, Charlottesville VA"
325,"1611 MADISON AVE B, Charlottesville VA"
326,"1611 MADISON AVE B, Charlottesville VA"
327,"606 WALKER SQ, Charlottesville VA"
328,"100 W MAIN ST, Charlottesville VA"
329,"100 W MAIN ST, Charlottesville VA"
330,"1600 5TH ST, Charlottesville VA"
331,"1917 SWANSON DR B, Charlottesville VA"
332,"160 PEREGORY LN, Charlottesville VA"
333," NELSON CO SO, Charlottesville VA"
334,"1901 EMMET ST N, Charlottesville VA"
335,"1511 ANTOINETTE AVE B, Charlottesville VA"
336,"1511 ANTOINETTE AVE B, Charlottesville VA"
337,"709 ST CLAIR AVE, Charlottesville VA"
338,"709 ST CLAIR AVE, Charlottesville VA"
339,"709 ST CLAIR AVE, Charlottesville VA"
340,"1610 AVON ST, Charlottesville VA"
341,"1610 AVON ST, Charlottesville VA"
342,"818 MONTROSE AVE, Charlottesville VA"
343,"7240 COURTLAND FARM RD, Charlottesville VA"
344,"7240 COURTLAND FARM RD, Charlottesville VA"
345,"7240 COURTLAND FARM RD, Charlottesville VA"
346,"7240 COURTLAND FARM RD, Charlottesville VA"
347,"7240 COURTLAND FARM RD, Charlottesville VA"
348,"727 PROSPECT AVE, Charlottesville VA"
349,"727 PROSPECT AVE, Charlottesville VA"
350," VSP TROOPER, Charlottesville VA"
351,"233 4TH ST NW, Charlottesville VA"
352,"208 E MAIN ST, Charlottesville VA"
353,"16010 AVON ST, Charlottesville VA"
354,"606 E MARKET ST, Charlottesville VA"
355,"1610 AVON ST, Charlottesville VA"
356,"999 GROVE ST, Charlottesville VA"
357,"999 GROVE ST, Charlottesville VA"
358,"160 PEREGORY LN, Charlottesville VA"
359," BYPASS @ MCINTIRE RD, Charlottesville VA"
360,"528 CLEVELAND AVE, Charlottesville VA"
361," 2ND ST NE, Charlottesville VA"
362,"243 RIDGE MCINTIRE RD, Charlottesville VA"
363,"832 CHERRY AVE, Charlottesville VA"
364,"760 PROSPECT AVE, Charlottesville VA"
365,"760 PROSPECT AVE, Charlottesville VA"
366,"601 PRESTON AVE, Charlottesville VA"
367,"601 PRESTON AVE, Charlottesville VA"
368,"601 PRESTON AVE, Charlottesville VA"
369," 7TH ST NE, Charlottesville VA"
370,"160 PEREGORY LN, Charlottesville VA"
371,"160 PEREGORY LN, Charlottesville VA"
372,"160 PEREGORY LN, Charlottesville VA"
373,"2302 DELLMEAD LN, Charlottesville VA"
374,"716 1ST ST S, Charlottesville VA"
375,"1611 MADISON AVE B, Charlottesville VA"
376,"1688 THURSTON DR, Charlottesville VA"
377,"600 PRESTON AVE, Charlottesville VA"
378,"606 E MARKET ST, Charlottesville VA"
379,"606 E MARKET ST, Charlottesville VA"
380,"750 HARRIS ST 101, Charlottesville VA"
381,"750 HARRIS ST 101, Charlottesville VA"
382,"1009 MONTROSE AVE, Charlottesville VA"
383," FAIRFAX CO SO, Charlottesville VA"
384," FAIRFAX CO SO, Charlottesville VA"
385," FAIRFAX CO SO, Charlottesville VA"
386," FAIRFAX CO SO, Charlottesville VA"
387,"14 FULKS CORNER AVE, Charlottesville VA"
388,"160 PEREGORY LN, Charlottesville VA"
389,"160 PEREGORY LN, Charlottesville VA"
390,
391,"160 PEREGORY LN, Charlottesville VA"
392,"160 PEREGORY LN, Charlottesville VA"
393,"94 COURTHOUSE SQ, Charlottesville VA"
394,"750 HARRIS ST 202, Charlottesville VA"
395,"160 PEREGORY LN, Charlottesville VA"
396,"606 E MARKET ST, Charlottesville VA"
397,"160 PEREGORY LN, Charlottesville VA"
398,"160 PEREGORY LN, Charlottesville VA"
399,"160 PEREGORY LN, Charlottesville VA"
400,"160 PEREGORY LN, Charlottesville VA"
401,"606 E MARKET ST, Charlottesville VA"
402,"600 PRESTON AVE, Charlottesville VA"
403,"822 CHERRY AVE, Charlottesville VA"
404,"1600 5TH ST, Charlottesville VA"
405,"1600 5TH ST, Charlottesville VA"
406,"1600 5TH ST, Charlottesville VA"
407," BUCKINGHAM SO, Charlottesville VA"
408,"912 HENRY AVE, Charlottesville VA"
409,"910 ROCK CREEK RD, Charlottesville VA"
410,"315 WMAIN ST, Charlottesville VA"
411,"915 CHARLTON AVE, Charlottesville VA"
412," 5TH ST SW @ CLEVELAND AVE, Charlottesville VA"
413,"208 E MAIN ST, Charlottesville VA"
414,"208 E MAIN ST, Charlottesville VA"
415,"112 W MARKET ST, Charlottesville VA"
416," BRISTOL VA PD, Charlottesville VA"
417,"615 E WATER ST, Charlottesville VA"
418," <UNKNOWN>, Charlottesville VA"
419,"2514 FONTAINE AVE A, Charlottesville VA"
420,"2514 FONTAINE AVE A, Charlottesville VA"
421,
422,"303 E MAIN ST, Charlottesville VA"
423,"303 E MAIN ST, Charlottesville VA"
424,"304 RIDGE ST, Charlottesville VA"
425,"304 RIDGE ST, Charlottesville VA"
426,"304 RIDGE ST, Charlottesville VA"
427,"160 PEREGORY LN, Charlottesville VA"
428,"160 PEREGORY LN, Charlottesville VA"
429,"606 E MARKET ST, Charlottesville VA"
430,"160 PEREGORY LN, Charlottesville VA"
431,"1610 AVON STREET EXT, Charlottesville VA"
432,"418 10TH ST NW 4, Charlottesville VA"
433,"112 W MARKET ST, Charlottesville VA"
434,"160 PEREGORY LN, Charlottesville VA"
435,"348 CAMPBELL AVE SW, Charlottesville VA"
436,"160 PEREGORY LN, Charlottesville VA"
437," FARMVILLE POLICE DEPARTMENT, Charlottesville VA"
438,"1610 AVON STREET EXT, Charlottesville VA"
439,"750 HARRIS ST 101, Charlottesville VA"
440,"750 HARRIS ST, Charlottesville VA"
441,"2111 MICHIE DR 120, Charlottesville VA"
442,"1316 WILLOW DR, Charlottesville VA"
443,"1316 WILLOW DR, Charlottesville VA"
444,"1600 5TH ST, Charlottesville VA"
445,"415 2ND ST NE 2, Charlottesville VA"
446,"160 PEREGORY LN, Charlottesville VA"
447,"160 PEREGORY LN, Charlottesville VA"
448,"750 HARRIS ST 101, Charlottesville VA"
449,"1500 CARLTON AVE 5, Charlottesville VA"
450,"1500 CARLTON AVE 5, Charlottesville VA"
451,"750 HARRIS ST 101, Charlottesville VA"
452,"708 SHAMROCK RD, Charlottesville VA"
453,"708 SHAMROCK RD, Charlottesville VA"
454,"708 SHAMROCK RD, Charlottesville VA"
455,"708 SHAMROCK RD, Charlottesville VA"
456,"2405 HYDRAULIC RD, Charlottesville VA"
457,"606 E MARKET ST, Charlottesville VA"
458,"1610 AVON ST, Charlottesville VA"
459,"982 ROCK CREEK RD, Charlottesville VA"
460,"101 E MARKET ST, Charlottesville VA"
461,"200 2ND ST NE, Charlottesville VA"
462,"2304 IVY RD, Charlottesville VA"
463,"918 1ST ST S, Charlottesville VA"
464,"2506 HILLWOOD PL, Charlottesville VA"
465,"1400 RIALTO ST, Charlottesville VA"
466,"500 MCINTIRE RD, Charlottesville VA"
467,"500 MCINTIRE RD, Charlottesville VA"
468,"500 MCINTIRE RD, Charlottesville VA"
469,"711 PROSPECT AVE, Charlottesville VA"
470,"508 7TH ST NE 5, Charlottesville VA"
471,"750 HARRIS ST 101, Charlottesville VA"
472,"926 RIVES ST, Charlottesville VA"
473,"808 CHERRY AVE, Charlottesville VA"
474,"808 CHERRY AVE, Charlottesville VA"
475,"1225 COURTHOUSE RD, Charlottesville VA"
476,"520 2ND ST SE, Charlottesville VA"
477,"520 2ND ST SE, Charlottesville VA"
478,"300 W MAIN ST, Charlottesville VA"
479,"108 2ND ST NW, Charlottesville VA"
480,"802 HARDY DR E, Charlottesville VA"
481,"802 HARDY DR E, Charlottesville VA"
482,"750 HARRIS ST 101, Charlottesville VA"
483,
484," IVY RD, Charlottesville VA"
485,"160 PEREGORY LN, Charlottesville VA"
486,"160 PEREGORY LN, Charlottesville VA"
487," GREEN CO SO, Charlottesville VA"
488,"601 11TH ST NW A, Charlottesville VA"
489,"601 11TH ST NW A, Charlottesville VA"
490,"606 E MARKET ST, Charlottesville VA"
491,"606 E MARKET ST, Charlottesville VA"
492,"606 E MARKET ST, Charlottesville VA"
493,"1222 SMITH ST B, Charlottesville VA"
494,"923 ANDERSON ST, Charlottesville VA"
495," FLUVANNA CO SO, Charlottesville VA"
496," FLUVANNA CO SO, Charlottesville VA"
497," FLUVANNA CO SO, Charlottesville VA"
498," FLUVANNA CO SO, Charlottesville VA"
499,"207 RIDGE ST, Charlottesville VA"
500,"200 EMARKET ST, Charlottesville VA"
501,"160 PEREGORY LN, Charlottesville VA"
502,"160 PEREGORY LN, Charlottesville VA"
503,"160 PEREGORY LN, Charlottesville VA"
504,"606 E MARKET ST, Charlottesville VA"
505,"1610 EMMET ST N 336, Charlottesville VA"
506,"1610 EMMET ST N 336, Charlottesville VA"
507,"1610 EMMET ST N 336, Charlottesville VA"
508,"975 EMMET ST N, Charlottesville VA"
509,"1400 UNIVERSITY AVE, Charlottesville VA"
510,"606 E MARKET ST, Charlottesville VA"
511,"606 E MARKET ST, Charlottesville VA"
512,"750 HARRIS ST 101, Charlottesville VA"
513," CHERRY AVE, Charlottesville VA"
514," CARLTON RD, Charlottesville VA"
515,"2000 GREENBRIER DR, Charlottesville VA"
516,"827 ST CLAIR AVE, Charlottesville VA"
517," VSP RICHMOND, Charlottesville VA"
518,"1417 EMMET ST N A, Charlottesville VA"
519,"1112 GORDON AVE A, Charlottesville VA"
520,"1427 UNIVERSITY AVE, Charlottesville VA"
521,"1325 W MAIN ST, Charlottesville VA"
522,"1325 W MAIN ST, Charlottesville VA"
523,"913 W MAIN ST, Charlottesville VA"
524,"913 W MAIN ST, Charlottesville VA"
525,"913 W MAIN ST, Charlottesville VA"
526,"1032 CARLTON AVE, Charlottesville VA"
527,"1032 CARLTON AVE, Charlottesville VA"
528," UNIVERSITY AVE, Charlottesville VA"
529,"119 MAURY AVE, Charlottesville VA"
530,"119 MAURY AVE, Charlottesville VA"
531,"119 MAURY AVE, Charlottesville VA"
532,"119 MAURY AVE, Charlottesville VA"
533,
534,"1220 PRESTON AVE, Charlottesville VA"
535,"504 E MARKET ST, Charlottesville VA"
536,"504 E MARKET ST, Charlottesville VA"
537," CARLTON AVE, Charlottesville VA"
538,"1600 CHERRY AVE, Charlottesville VA"
539,"1600 CHERRY AVE, Charlottesville VA"
540,"1600 CHERRY AVE, Charlottesville VA"
541,"401 MCINTIRE RD, Charlottesville VA"
542,"401 MCINTIRE RD, Charlottesville VA"
543,"606 E MARKET ST, Charlottesville VA"
544,"411 E HIGH ST, Charlottesville VA"
545," <UNKNOWN>, Charlottesville VA"
546,"1907 EMMET ST N, Charlottesville VA"
547,"411 E HIGH ST, Charlottesville VA"
548,"160 PEREGORY LN, Charlottesville VA"
549,"768 PROSPECT AVE, Charlottesville VA"
550,"768 PROSPECT AVE, Charlottesville VA"
551,"401 4TH ST NW, Charlottesville VA"
552," CARLTON RD, Charlottesville VA"
553,"606 E MARKET ST, Charlottesville VA"
554,"606 E MARKET ST, Charlottesville VA"
555,"750 HARRIS ST 207, Charlottesville VA"
556,"750 HARRIS ST 207, Charlottesville VA"
557,"606 E MARKET ST, Charlottesville VA"
558," E HIGH ST, Charlottesville VA"
559,"14023 PUBLIC SAFETY COURT, Charlottesville VA"
560,"750 HARRIS ST 101, Charlottesville VA"
561,"200 W MAIN ST, Charlottesville VA"
562,"1001 PRESTON AVE, Charlottesville VA"
563,"1622 EMARKET ST B, Charlottesville VA"
564,"123 E MAIN ST, Charlottesville VA"
565,"123 E MAIN ST, Charlottesville VA"
566,"750 HARRIS ST 202, Charlottesville VA"
567,"123 E MAIN ST, Charlottesville VA"
568,"606 E MARKET ST, Charlottesville VA"
569,"127 LEE HWY, Charlottesville VA"
570,"901 E MARKET ST, Charlottesville VA"
571,"524 HARRIS RD, Charlottesville VA"
572,"37 OVERLOOK _FLU_ CIR, Charlottesville VA"
573,"1154 5TH ST SW, Charlottesville VA"
574,"1603 CHERRY AVE, Charlottesville VA"
575,"1 TH ST NW @ GRADY AVE, Charlottesville VA"
576,"1 TH ST NW @ GRADY AVE, Charlottesville VA"
577,"160 PEREGORY LN, Charlottesville VA"
578,"995 SEMINOLE TRL, Charlottesville VA"
579,"212 E MAIN ST, Charlottesville VA"
580,"212 E MAIN ST, Charlottesville VA"
581,"606 E MARKET ST, Charlottesville VA"
582,"246 SHAMROCK RD, Charlottesville VA"
583,"1400 MIDLAND ST, Charlottesville VA"
584,"935 HENRY AVE, Charlottesville VA"
